created_state,opened_state,approved_state,mergeable_state,branch_name,updated_at
True,True,False,False,n,2022-11-28 15:21:49
True,True,False,True,o,2022-11-28 16:25:52
True,True,False,True,p,2022-11-28 15:23:24
False,False,False,False,q,
False,False,False,False,r,
False,False,False,False,s,
True,True,False,True,t,2022-11-28 16:25:53
True,True,False,True,v,2022-11-28 16:25:54
False,False,False,False,w,
True,True,False,True,x,2022-11-28 16:25:55
True,True,False,True,y,2022-11-28 16:25:56
False,False,False,False,z,
